src_ip,dst_ip,src_port,dst_port,proto,ip_version,service,duration,total_packets,total_bytes,a_to_b_packets,b_to_a_packets,a_to_b_bytes,b_to_a_bytes,a_to_b_packet_ratio,b_to_a_packet_ratio,packets_per_second,bytes_per_second,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,src_is_private,dst_is_private,both_private
17.111.103.20,192.168.1.173,443,51525,tcp,ipv4,https,81.35504698753357,1638,990653,766,872,394285,596368,0.46764346764346765,0.5323565323565324,20.13396907325244,12176.908952579211,66,1506,604.7942612942613,570.2885457706061,0,1638,0,0,504,0,1,0
192.168.1.173,209.9.200.159,51676,6001,tcp,ipv4,custom_tcp_6001,79.1890070438385,26,4857,14,12,3652,1205,0.5384615384615384,0.46153846153846156,0.3283284002488701,61.33427076956777,54,1506,186.80769230769232,378.0097698402444,0,26,0,0,2,1,0,0
fe80::106c:ef7f:ec69:7130,fe80::80f:fc10:f7e3:fdae,7000,55732,tcp,ipv6,tcp_other,78.6697130203247,160,29520,80,80,19160,10360,0.5,0.5,2.0338195457591564,375.23970619256437,86,393,184.5,125.50796787455369,0,160,0,0,80,1,1,1
192.168.1.173,69.30.197.146,65446,6011,tcp,ipv4,custom_tcp_6011,76.41009783744812,24,1512,12,12,720,792,0.5,0.5,0.3140946115663491,19.787960528679996,54,66,63.0,5.196152422706632,0,24,0,0,0,1,0,0
192.168.1.173,69.30.197.146,65432,6011,tcp,ipv4,custom_tcp_6011,76.3679940700531,19,1182,10,9,588,594,0.5263157894736842,0.47368421052631576,0.2487953262537067,15.477688191151648,54,66,62.21052631578947,5.577954231364958,0,19,0,0,0,1,0,0
192.168.1.173,69.30.197.146,65418,6011,tcp,ipv4,custom_tcp_6011,76.08789801597595,20,1260,10,10,600,660,0.5,0.5,0.26285389032301376,16.55979509034987,54,66,63.0,5.196152422706632,0,20,0,0,0,1,0,0
192.168.1.173,209.9.200.159,51794,6001,tcp,ipv4,custom_tcp_6001,75.80181002616882,113,58405,63,50,34248,24157,0.5575221238938053,0.4424778761061947,1.4907295744123967,770.49611321731,54,1506,516.858407079646,627.718877206192,0,113,0,0,21,1,0,0
122.228.195.19,192.168.1.173,443,55785,tcp,ipv4,https,75.10698103904724,17,1472,8,9,822,650,0.47058823529411764,0.5294117647058824,0.22634380672499535,19.598710794070186,54,369,86.58823529411765,76.99278715150142,0,17,0,0,4,0,1,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:e1:a800:120::62,50364,443,tcp,ipv6,https,74.85394406318665,25,4105,16,9,2255,1850,0.64,0.36,0.3339837374353539,54.84012968688512,74,474,164.2,92.83059840375914,0,25,0,0,16,0,0,0
2406:da14:1cb0:deb9:1592:7d40:41d9:5445,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56145,tcp,ipv6,tcp_other,73.42262315750122,26,2176,13,13,1094,1082,0.5,0.5,0.3541142890553851,29.63664203786608,74,110,83.6923076923077,7.456382040647755,0,24,2,2,1,0,0,0
